"№ 
п/п",Институт,Учебная группа,Право,Физическая культура,Инженерная и компьютерная графика,История,Безопасность жизнедеятельности,Инженерная и компьютерная графика.1,История.1,Химия,Иностранный язык,Геодезия,Инженерная компьютерная графика,Информатика,Программирование и алгоритмизация,Практическая фонетика,Математика,Иностранный язык.1,Долги
751,0.0612315101479188,0.0272331154684095,-1,1,-1,1,-1,-1,-1,-1,2,-1,2,-1,3,-1,2,-1,3.0
671,0.0272331154684095,0.0816993464052287,-1,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,3,-1,2,-1,1.0
1 311,0.1985922574157868,0.0544662309368191,-1,-1,-1,1,-1,0,-1,2,2,0,-1,3,-1,-1,3,-1,4.0
959,0.0569315445476436,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,2,-1,2,-1,3.0
1 478,0.3954248366013072,0.4326797385620914,-1,-1,1,1,-1,-1,-1,2,2,-1,-1,0,-1,-1,3,-1,3.0
1 323,0.2400999615532487,0.2875816993464052,-1,-1,-1,1,-1,3,-1,2,4,4,-1,4,-1,-1,3,-1,1.0
1 620,0.1661998132586368,0.0816993464052287,1,1,-1,1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,3,-1,1.0
43,0.0816993464052287,0.1633986928104575,-1,1,-1,-1,5,-1,2,-1,-1,-1,-1,-1,-1,3,-1,3,1.0
835,0.0415499533146592,0.0326797385620915,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0
689,0.1292665214233841,0.2326797385620915,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0
1 424,0.2485803064395156,0.7211328976034858,-1,-1,-1,1,-1,3,-1,2,2,3,-1,4,-1,-1,2,-1,3.0
912,0.0618113912231559,0.1633986928104575,-1,0,-1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,6.0
1 479,0.3514887436456064,0.3605664488017429,-1,-1,0,0,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,3.0
1 335,0.2349589408412937,0.0816993464052287,-1,-1,-1,1,-1,4,-1,2,2,4,-1,3,-1,-1,3,-1,2.0
747,0.0684352172241445,0.0408496732026143,-1,1,-1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,4.0
1 511,0.1757443718228032,0.0272331154684095,-1,-1,1,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,1.0
1 483,0.2875816993464052,0.2704248366013072,-1,-1,1,1,-1,-1,-1,2,4,-1,-1,3,-1,-1,3,-1,1.0
1 696,0.1966726084373143,0.5816993464052288,0,1,-1,0,-1,-1,-1,-1,3,-1,-1,3,-1,-1,3,-1,2.0
820,0.048474945533769,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,2,-1,2,-1,4,-1,0,-1,3.0
1 375,0.1870081365879685,0.0272331154684095,-1,-1,-1,1,-1,4,-1,2,2,3,-1,3,-1,-1,3,-1,2.0
1 425,0.2445709466582331,0.5408496732026143,-1,-1,-1,1,-1,3,-1,2,3,3,-1,3,-1,-1,3,-1,1.0
547,0.0816993464052287,0.1633986928104575,0,-1,-1,1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,3,-1,3.0
1 385,0.2188901704472638,0.1633986928104575,-1,-1,-1,0,-1,2,-1,2,2,3,-1,0,-1,-1,2,-1,6.0
1 402,0.217203548085901,0.1938997821350762,-1,-1,-1,1,-1,5,-1,3,2,4,-1,3,-1,-1,3,-1,1.0
1 317,0.2633354417035631,0.3954248366013072,-1,-1,-1,0,-1,3,-1,2,3,4,-1,4,-1,-1,3,-1,2.0
1 470,0.2326797385620915,0.0816993464052287,-1,-1,1,1,-1,-1,-1,0,3,-1,-1,3,-1,-1,3,-1,1.0
262,0.1633986928104575,0.1633986928104575,-1,-1,1,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,1.0
863,0.0655575361457714,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,5,-1,5,-1,2,-1,3,-1,1.0
1 538,0.1506380329909741,0.0544662309368191,-1,-1,0,1,-1,-1,-1,2,2,-1,-1,3,-1,-1,3,-1,3.0
1 303,0.2151416122004357,0.1633986928104575,-1,-1,-1,1,-1,2,-1,2,2,3,-1,3,-1,-1,3,-1,3.0
1 312,0.1912369886226095,0.0408496732026143,-1,-1,-1,1,-1,3,-1,2,2,0,-1,4,-1,-1,3,-1,3.0
1 324,0.2332399626517273,0.2636165577342048,-1,-1,-1,1,-1,4,-1,3,2,3,-1,3,-1,-1,3,-1,1.0
1 214,0.0702977487291212,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,3,-1,2,-1,1.0
1 368,0.1992043194089229,0.0544662309368191,-1,-1,-1,0,-1,2,-1,2,3,3,-1,3,-1,-1,3,-1,3.0
1 416,0.2231084524205162,0.1633986928104575,-1,-1,-1,0,-1,0,-1,2,2,0,-1,0,-1,-1,2,-1,7.0
1 291,0.2581699346405229,0.1292665214233841,-1,-1,-1,1,-1,3,-1,2,3,3,-1,4,-1,-1,3,-1,1.0
1 285,0.3227124183006536,0.2326797385620915,-1,-1,-1,1,-1,3,-1,2,2,4,-1,4,-1,-1,3,-1,2.0
752,0.0581699346405228,0.0233426704014939,-1,1,-1,1,-1,-1,-1,-1,3,-1,2,-1,3,-1,2,-1,2.0
1 256,0.2908496732026144,0.0816993464052287,-1,-1,-1,0,-1,0,-1,2,4,0,-1,0,-1,-1,2,-1,6.0
1 421,0.2360566448801742,0.5816993464052288,-1,-1,-1,1,-1,0,-1,2,2,0,-1,0,-1,-1,0,-1,6.0
934,0.0600944081336238,0.0816993464052287,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0
1 122,0.0735674114607083,0.0544662309368191,-1,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,3,-1,0,-1,1.0
1 270,0.4163398692810457,0.3954248366013072,-1,-1,-1,1,-1,3,-1,2,5,3,-1,4,-1,-1,3,-1,1.0
745,0.0727124183006536,0.0544662309368191,-1,1,-1,1,-1,-1,-1,-1,4,-1,3,-1,3,-1,2,-1,1.0
1 365,0.2036310820624546,0.0816993464052287,-1,-1,-1,1,-1,2,-1,2,3,3,-1,3,-1,-1,3,-1,2.0
1 557,0.0544662309368191,0.0544662309368191,1,1,-1,1,-1,-1,-1,-1,3,-1,-1,3,-1,-1,2,-1,1.0
1 586,0.0408496732026143,0.1633986928104575,1,1,-1,1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,3,-1,1.0
1 404,0.2269551498760423,0.2704248366013072,-1,-1,-1,1,-1,4,-1,2,3,4,-1,5,-1,-1,3,-1,1.0
1 545,0.1633986928104575,0.1633986928104575,1,1,-1,1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,3,-1,1.0
1 289,0.2868554829339143,0.1661998132586368,-1,-1,-1,1,-1,3,-1,2,2,3,-1,4,-1,-1,3,-1,2.0
1 506,0.2259570494864612,0.0816993464052287,-1,-1,0,1,-1,-1,-1,3,4,-1,-1,3,-1,-1,4,-1,1.0
445,0.1938997821350762,0.1633986928104575,-1,-1,-1,1,-1,-1,-1,2,3,-1,-1,4,-1,-1,3,-1,1.0
1 236,0.0816993464052287,0.0816993464052287,-1,-1,-1,1,-1,3,-1,3,2,-1,-1,4,-1,-1,3,-1,1.0
888,0.0636293733179546,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,4,-1,3,-1,1.0
1 481,0.3163398692810457,0.3090569561157796,-1,-1,1,1,-1,-1,-1,0,3,-1,-1,3,-1,-1,3,-1,1.0
1 694,0.1163398692810457,0.1633986928104575,1,0,-1,0,-1,-1,-1,-1,2,-1,-1,2,-1,-1,2,-1,5.0
378,0.2908496732026144,0.1633986928104575,-1,1,1,1,-1,-1,-1,2,5,-1,-1,5,-1,-1,3,-1,1.0
1 450,0.0544662309368191,0.0544662309368191,-1,-1,0,1,-1,-1,-1,2,2,-1,-1,3,-1,-1,3,-1,3.0
1 318,0.2551062091503268,0.3514887436456064,-1,-1,-1,1,-1,4,-1,2,4,3,-1,4,-1,-1,4,-1,1.0
1 473,0.3605664488017429,0.3877995642701525,-1,-1,0,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,2.0
1 286,0.3037293348712034,0.1938997821350762,-1,-1,-1,1,-1,3,-1,2,2,0,-1,4,-1,-1,3,-1,3.0
1 373,0.1909041394335512,0.0326797385620915,-1,-1,-1,1,-1,3,-1,2,3,3,-1,3,-1,-1,3,-1,1.0
667,0.0326797385620915,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0
1 315,0.2721132897603485,0.4519140989729225,-1,-1,-1,1,-1,3,-1,2,3,3,-1,4,-1,-1,3,-1,1.0
351,0.0544662309368191,0.1633986928104575,-1,-1,-1,1,-1,-1,-1,2,3,-1,-1,5,-1,-1,3,-1,1.0
939,0.0584702349408231,0.0544662309368191,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,2,-1,2.0
749,0.064633260711692,0.0326797385620915,-1,1,-1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,4.0
830,0.0447461035696329,0.0544662309368191,-1,1,-1,1,-1,-1,-1,-1,3,-1,2,-1,5,-1,3,-1,1.0
1 322,0.2473757179639532,0.3163398692810457,-1,-1,-1,1,-1,3,-1,3,3,4,-1,3,-1,-1,0,-1,1.0
9,0.1633986928104575,0.1633986928104575,-1,1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,3,-1,5,1.0
728,0.0830999066293184,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,4,-1,3,-1,1.0
1 313,0.2201213818860878,0.2326797385620915,-1,-1,-1,1,-1,3,-1,3,2,3,-1,4,-1,-1,3,-1,1.0
1 333,0.2411420708634331,0.1633986928104575,-1,-1,-1,1,-1,4,-1,2,3,3,-1,4,-1,-1,3,-1,1.0
579,0.0544662309368191,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,2,-1,5,-1,5,-1,3,-1,1.0
1 651,0.1292665214233841,0.0816993464052287,1,1,-1,1,-1,-1,-1,-1,3,-1,-1,2,-1,-1,2,-1,2.0
723,0.0894922071392659,0.0544662309368191,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0
184,0.0233426704014939,0.1633986928104575,-1,0,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,3,-1,3,3.0
1 309,0.2065359477124183,0.0816993464052287,-1,-1,-1,1,-1,3,-1,2,2,0,-1,5,-1,-1,4,-1,3.0
1 362,0.2082590612002376,0.1633986928104575,-1,-1,-1,1,-1,3,-1,2,3,3,-1,3,-1,-1,2,-1,2.0
1 265,0.5204248366013072,0.5272331154684096,-1,-1,-1,1,-1,3,-1,2,2,0,-1,4,-1,-1,3,-1,3.0
1 508,0.1977124183006536,0.0408496732026143,-1,-1,1,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,1.0
1 262,0.4519140989729225,0.4326797385620914,-1,-1,-1,0,-1,3,-1,0,2,0,-1,4,-1,-1,2,-1,5.0
781,0.0528817587641117,0.0816993464052287,-1,1,-1,1,-1,-1,-1,-1,2,-1,4,-1,0,-1,2,-1,3.0
685,0.0204248366013071,0.0408496732026143,-1,1,-1,1,-1,-1,-1,-1,3,-1,5,-1,3,-1,2,-1,1.0
1 260,0.3605664488017429,0.2908496732026144,-1,-1,-1,1,-1,4,-1,2,4,4,-1,4,-1,-1,3,-1,1.0
1 507,0.2108932461873638,0.0544662309368191,-1,-1,0,0,-1,-1,-1,2,2,-1,-1,3,-1,-1,3,-1,4.0
1 516,0.1581699346405228,0.0816993464052287,-1,-1,0,1,-1,-1,-1,2,3,-1,-1,4,-1,-1,2,-1,3.0
1 283,0.2973856209150327,0.0544662309368191,-1,-1,-1,0,-1,2,-1,2,2,0,-1,0,-1,-1,3,-1,6.0
693,0.1163398692810457,0.1938997821350762,-1,0,-1,1,-1,-1,-1,-1,2,-1,5,-1,4,-1,3,-1,2.0
833,0.0430888404744613,0.0408496732026143,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,4,-1,3,-1,1.0
1 550,0.0816993464052287,0.0816993464052287,1,1,-1,1,-1,-1,-1,-1,3,-1,-1,4,-1,-1,2,-1,1.0
838,0.0721132897603485,0.1661998132586368,-1,1,-1,1,-1,-1,-1,-1,2,-1,4,-1,4,-1,3,-1,1.0
1 104,0.075319016495487,0.0816993464052287,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0
1 643,0.1454248366013072,0.1633986928104575,1,1,-1,1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,0,-1,2.0
629,0.0408496732026143,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,4,-1,0,-1,1.0
169,0.0272331154684095,0.1633986928104575,-1,0,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,2,-1,3,4.0
759,0.0553999377528789,0.1633986928104575,-1,1,-1,1,-1,-1,-1,-1,4,-1,5,-1,0,-1,2,-1,2.0
1 336,0.2290849673202614,0.0544662309368191,-1,-1,-1,0,-1,0,-1,2,4,3,-1,4,-1,-1,3,-1,3.0
1 515,0.1664946680426556,0.1633986928104575,-1,-1,1,0,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,2.0
1 314,0.2470137480279468,0.3605664488017429,-1,-1,-1,0,-1,2,-1,2,3,0,-1,3,-1,-1,2,-1,5.0
495,0.1633986928104575,0.1633986928104575,1,-1,-1,1,-1,-1,-1,-1,4,-1,-1,3,-1,-1,2,-1,1.0
386,0.2326797385620915,0.0816993464052287,-1,1,1,1,-1,-1,-1,3,2,-1,-1,3,-1,-1,3,-1,1.0
