"№ 
п/п",Право,Физическая культура,Инженерная и компьютерная графика,История,Безопасность жизнедеятельности,Инженерная и компьютерная графика.1,История.1,Химия,Иностранный язык,Геодезия,Инженерная компьютерная графика,Информатика,Программирование и алгоритмизация,Практическая фонетика,Математика,Иностранный язык.1,Долги,Статус,Институт_ИНМиН,Институт_ИТКН,Институт_МГИ,Институт_ЭУПП им. В.А. Роменца,Институт_ЭкоТех,Учебная группа_ББИ-20-4,Учебная группа_БИВТ-20-1,Учебная группа_БИВТ-20-3,Учебная группа_БИВТ-20-5,Учебная группа_БИВТ-20-6,Учебная группа_БИВТ-20-7,Учебная группа_БИСТ-20-1,Учебная группа_БИСТ-20-2,Учебная группа_БИСТ-20-3,Учебная группа_БЛГ-20-1,Учебная группа_БЛГ-20-11,Учебная группа_БЛГ-20-12,Учебная группа_БЛГ-20-13,Учебная группа_БЛГ-20-4,Учебная группа_БЛГ-20-5,Учебная группа_БМН-20-1,Учебная группа_БМН-20-2,Учебная группа_БМН-20-3,Учебная группа_БМТ-20-1,Учебная группа_БМТ-20-2,Учебная группа_БМТМ-20-1,Учебная группа_БНМТ-20-1,Учебная группа_БПИ-20-1,Учебная группа_БПИ-20-2,Учебная группа_БПИ-20-3,Учебная группа_БПИ-20-4,Учебная группа_БПИ-20-9,Учебная группа_БПМ-20-1,Учебная группа_БПМ-20-4,Учебная группа_БТМО-20-1,Учебная группа_БТМО-20-2,Учебная группа_БФЗ-20-1,Учебная группа_БЭК-20-1,Учебная группа_БЭК-20-3,Учебная группа_БЭН-20-2,Учебная группа_БЭЭ-20-1,Учебная группа_СГД-20-1,Учебная группа_СГД-20-2,Учебная группа_СГД-20-3,Учебная группа_СГД-20-4,Учебная группа_СГД-20-5,Учебная группа_СГД-20-6,Учебная группа_СФП-20-1
838,0,1,-1,1,-1,-1,-1,-1,2,-1,4,-1,4,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
841,0,1,-1,0,-1,-1,-1,-1,2,-1,2,-1,3,-1,2,-1,4.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
842,0,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
863,0,1,-1,1,-1,-1,-1,-1,5,-1,5,-1,2,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
888,0,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,4,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
912,0,0,-1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,6.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
934,0,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
939,0,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,2,-1,2.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
959,0,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,2,-1,2,-1,3.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
961,0,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,0,-1,2,-1,2.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
970,0,1,-1,0,-1,-1,-1,-1,3,-1,3,-1,0,-1,3,-1,2.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 103,0,0,-1,1,-1,-1,-1,-1,2,-1,4,-1,4,-1,3,-1,2.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 104,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 122,0,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,3,-1,0,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 139,0,1,-1,1,-1,-1,-1,-1,2,-1,0,-1,5,-1,5,-1,2.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 214,0,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,3,-1,2,-1,1.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 232,0,-1,-1,1,-1,4,-1,2,3,-1,-1,4,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1 236,0,-1,-1,1,-1,3,-1,3,2,-1,-1,4,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1 254,0,-1,-1,1,-1,0,-1,2,3,3,-1,5,-1,-1,3,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1 256,0,-1,-1,0,-1,0,-1,2,4,0,-1,0,-1,-1,2,-1,6.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1 259,0,-1,-1,1,-1,0,-1,2,2,0,-1,0,-1,-1,2,-1,6.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1 260,0,-1,-1,1,-1,4,-1,2,4,4,-1,4,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1 262,0,-1,-1,0,-1,3,-1,0,2,0,-1,4,-1,-1,2,-1,5.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1 265,0,-1,-1,1,-1,3,-1,2,2,0,-1,4,-1,-1,3,-1,3.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1 268,0,-1,-1,1,-1,3,-1,2,4,4,-1,4,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1 270,0,-1,-1,1,-1,3,-1,2,5,3,-1,4,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1 275,0,-1,-1,1,-1,3,-1,2,2,3,-1,3,-1,-1,2,-1,3.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1 280,0,-1,-1,0,-1,4,-1,2,3,3,-1,3,-1,-1,3,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1 281,0,-1,-1,1,-1,2,-1,2,3,0,-1,3,-1,-1,3,-1,3.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1 283,0,-1,-1,0,-1,2,-1,2,2,0,-1,0,-1,-1,3,-1,6.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1 284,0,-1,-1,1,-1,3,-1,2,2,3,-1,4,-1,-1,3,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1 285,0,-1,-1,1,-1,3,-1,2,2,4,-1,4,-1,-1,3,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1 286,0,-1,-1,1,-1,3,-1,2,2,0,-1,4,-1,-1,3,-1,3.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1 289,0,-1,-1,1,-1,3,-1,2,2,3,-1,4,-1,-1,3,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1 290,0,-1,-1,1,-1,5,-1,3,2,4,-1,4,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1 291,0,-1,-1,1,-1,3,-1,2,3,3,-1,4,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1 292,0,-1,-1,1,-1,5,-1,2,2,3,-1,4,-1,-1,2,-1,3.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1 294,0,-1,-1,1,-1,4,-1,2,3,4,-1,4,-1,-1,2,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1 297,0,-1,-1,0,-1,3,-1,3,3,3,-1,3,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1 303,0,-1,-1,1,-1,2,-1,2,2,3,-1,3,-1,-1,3,-1,3.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1 309,0,-1,-1,1,-1,3,-1,2,2,0,-1,5,-1,-1,4,-1,3.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
